"RTD End Time Stamp","Zone Name","Zone PTID","RTD Actual Load"
"2025/03/31 03:10:00","LONGIL","61762","1547.7203"
"2025/03/31 03:10:00","MHK VL","61756","700.8658"
"2025/03/31 03:10:00","MILLWD","61759","223.1567"
"2025/03/31 03:10:00","N.Y.C.","61761","4066.4355"
"2025/03/31 03:10:00","NORTH","61755","587.4436"
"2025/03/31 03:10:00","WEST","61752","1457.5869"
"2025/03/31 03:15:00","CAPITL","61757","1042.1727"
"2025/03/31 03:15:00","CENTRL","61754","1303.8059"
"2025/03/31 03:15:00","DUNWOD","61760","471.5407"
"2025/03/31 03:15:00","GENESE","61753","829.4531"
"2025/03/31 03:15:00","HUD VL","61758","848.7587"
"2025/03/31 03:15:00","LONGIL","61762","1547.1841"
"2025/03/31 03:15:00","MHK VL","61756","688.5848"
"2025/03/31 03:15:00","MILLWD","61759","212.0489"
"2025/03/31 03:15:00","N.Y.C.","61761","4078.3086"
"2025/03/31 03:15:00","NORTH","61755","589.5635"
"2025/03/31 03:15:00","WEST","61752","1456.3898"
"2025/03/31 03:20:00","CAPITL","61757","1056.5751"
"2025/03/31 03:20:00","CENTRL","61754","1322.1179"
"2025/03/31 03:20:00","DUNWOD","61760","469.7099"
"2025/03/31 03:20:00","GENESE","61753","824.9301"
"2025/03/31 03:20:00","HUD VL","61758","833.5288"
"2025/03/31 03:20:00","LONGIL","61762","1541.1975"
"2025/03/31 03:20:00","MHK VL","61756","693.509"
"2025/03/31 03:20:00","MILLWD","61759","215.2701"
"2025/03/31 03:20:00","N.Y.C.","61761","4055.2021"
"2025/03/31 03:20:00","NORTH","61755","591.2348"
"2025/03/31 03:20:00","WEST","61752","1440.0463"
"2025/03/31 03:25:00","CAPITL","61757","1063.8807"
"2025/03/31 03:25:00","CENTRL","61754","1293.8027"
"2025/03/31 03:25:00","DUNWOD","61760","465.8289"
"2025/03/31 03:25:00","GENESE","61753","822.741"
"2025/03/31 03:25:00","HUD VL","61758","808.6252"
"2025/03/31 03:25:00","LONGIL","61762","1546.0355"
"2025/03/31 03:25:00","MHK VL","61756","690.2049"
"2025/03/31 03:25:00","MILLWD","61759","227.0187"
"2025/03/31 03:25:00","N.Y.C.","61761","4051.9392"
"2025/03/31 03:25:00","NORTH","61755","615.9038"
"2025/03/31 03:25:00","WEST","61752","1433.503"
"2025/03/31 03:30:00","CAPITL","61757","1069.3552"
"2025/03/31 03:30:00","CENTRL","61754","1309.9357"
"2025/03/31 03:30:00","DUNWOD","61760","470.4991"
"2025/03/31 03:30:00","GENESE","61753","826.9133"
"2025/03/31 03:30:00","HUD VL","61758","809.8814"
"2025/03/31 03:30:00","LONGIL","61762","1548.5477"
"2025/03/31 03:30:00","MHK VL","61756","699.0857"
"2025/03/31 03:30:00","MILLWD","61759","228.9023"
"2025/03/31 03:30:00","N.Y.C.","61761","4050.9475"
"2025/03/31 03:30:00","NORTH","61755","583.3792"
"2025/03/31 03:30:00","WEST","61752","1456.989"
"2025/03/31 03:35:00","CAPITL","61757","1078.8096"
"2025/03/31 03:35:00","CENTRL","61754","1299.3837"
"2025/03/31 03:35:00","DUNWOD","61760","469.4592"
"2025/03/31 03:35:00","GENESE","61753","826.8463"
"2025/03/31 03:35:00","HUD VL","61758","815.8701"
"2025/03/31 03:35:00","LONGIL","61762","1537.8464"
"2025/03/31 03:35:00","MHK VL","61756","705.7432"
"2025/03/31 03:35:00","MILLWD","61759","216.6328"
"2025/03/31 03:35:00","N.Y.C.","61761","4036.7026"
"2025/03/31 03:35:00","NORTH","61755","598.6649"
"2025/03/31 03:35:00","WEST","61752","1464.7815"
